Kartica,Kategorija,Naziv HR,Opis HR,Količina,Cijena,Sidrena cijena,Alergeni,Prikaži,Za van,Vino uz jelo,Naziv EN,Opis EN,Naziv DE,Opis DE,Naziv IT,Opis IT,Naziv FR,Opis FR,Naziv ES,Opis ES,Naziv PT,Opis PT,Naziv NL,Opis NL,Naziv PL,Opis PL,Naziv RU,Opis RU,Naziv HU,Opis HU,Naziv CS,Opis CS,Naziv SK,Opis SK,Naziv SL,Opis SL,Naziv UA,Opis UA,Naziv RO,Opis RO,Slika
Jelovnik,SALATE,ljetna salata,"lisnate salate, rotkvice, voće, agrumi, orašasti plodovi, rajčica, mozzarella",,"14,00","14,00","7,8",DA,DA,,summer salad,"leafy salads, radishes, fruit, citrus fruits, nuts, tomatoes, mozzarella",Sommersalat,"Blattsalate, Radieschen, Obst, Zitrusfrüchte, Nüsse, Tomaten, Mozzarella",insalata estiva,"insalate a foglia verde, ravanelli, frutta, agrumi, noci, pomodori, mozzarella",salade d'été,salade d'été,ensalada de verano,"ensaladas de hojas verdes, rábanos, fruta, cítricos, frutos secos, tomates, mozzarella",salada de verão,"saladas de folhas, rabanetes, frutas, frutas cítricas, nozes, tomates, mussarela",zomersalade,"bladgroenten, radijsjes, fruit, citrusvruchten, noten, tomaten, mozzarella",sałatka letnia,"sałatki liściaste, rzodkiewki, owoce, owoce cytrusowe, orzechy, pomidory, mozzarella",летний салат,"листовые салаты, редис, фрукты, цитрусовые, орехи, помидоры, моцарелла",nyári saláta,"leveles saláták, retek, gyümölcsök, citrusfélék, diófélék, paradicsom, mozzarella",letní salát,"listové saláty, ředkvičky, ovoce, citrusové plody, ořechy, rajčata, mozzarella",letný šalát,"listové šaláty, reďkovky, ovocie, citrusové plody, orechy, paradajky, mozzarella",poletna solata,"listnate solate, redkvice, sadje, agrumi, oreščki, paradižnik, mocarela",літній салат,"листові салати, редис, фрукти, цитрусові, горіхи, помідори, моцарела",salată de vară,"salate cu frunze, ridichi, fructe, citrice, nuci, roșii, mozzarella",
Jelovnik,SALATE,sezonska salata,"lisnata salata, kupus, rajčica, radić",,"7,00","7,00",,DA,DA,,seasonal salad,"lettuce, cabbage, tomato, radicchio",saisonaler Salat,"Salat, Kohl, Tomate, Radicchio",insalata di stagione,"lattuga, cavolo, pomodoro, radicchio",salade de saison,salade de saison,ensalada de temporada,"lechuga, repollo, tomate, achicoria",salada da estação,"alface, repolho, tomate, radicchio",seizoenssalade,"sla, kool, tomaat, radicchio",sałatka sezonowa,"sałata, kapusta, pomidor, radicchio",сезонный салат,"салат, капуста, помидоры, радиккио",szezonális saláta,"saláta, káposzta, paradicsom, radicchio",sezónní salát,"salát, zelí, rajčata, čekanky",sezónny šalát,"hlávkový šalát, kapusta, paradajka, radicchio",sezonska solata,"solata, zelje, paradižnik, radič",сезонний салат,"листя салату, капуста, помідори, радиккіо",salată de sezon,"salata verde, varza, rosii, radicchio",
Jelovnik,MESNA JELA,biftek na žaru,aromatizirani krumpir i sotirano povrće (250 g),,"35,50","35,50","7,12,10",DA,DA,,grilled steak,flavored potatoes and sautéed vegetables (250 g),gegrilltes Steak,gewürzte Kartoffeln und sautiertes Gemüse (250 g),bistecca al forno,patate aromatizzate e verdure saltate (250 g),steak grillé,steak grillé,bistec a la parrilla,Papas aromatizadas y verduras salteadas (250 g),bife grelhado,Batatas temperadas e legumes salteados (250 g),gegrilde biefstuk,Aardappelen met smaak en gebakken groenten (250 g),grillowany stek,ziemniaki smakowe i smażone warzywa (250 g),стейк на гриле,Картофель с различными вкусовыми добавками и обжаренные овощи (250 г),grillezett steak,ízesített burgonya és párolt zöldségek (250 g),grilovaný steak,ochucené brambory a restovaná zelenina (250 g),grilovaný steak,ochutené zemiaky a restovaná zelenina (250 g),zrezek na žaru,aromatiziran krompir in dušena zelenjava (250 g),стейк на грилі,картопля зі смаком спецій та смажені овочі (250 г),friptură la grătar,cartofi aromatizați și legume sotate (250 g),
Jelovnik,MESNA JELA,ramsteak na žaru,aromatizirani krumpir i sotirano povrće (250 g),,"26,00","26,00","7,12,10",DA,DA,,grilled rump steak,flavored potatoes and sautéed vegetables (250 g),gegrilltes Rumpsteak,gewürzte Kartoffeln und sautiertes Gemüse (250 g),bistecca di scamone alla griglia,patate aromatizzate e verdure saltate (250 g),steak de rumsteck grillé,steak de rumsteck grillé,filete de cadera a la parrilla,Papas aromatizadas y verduras salteadas (250 g),bife de alcatra grelhado,Batatas temperadas e legumes salteados (250 g),gegrilde rumpsteak,Aardappelen met smaak en gebakken groenten (250 g),grillowany stek z polędwicy,ziemniaki smakowe i smażone warzywa (250 g),стейк из говяжьей вырезки на гриле,Картофель с различными вкусовыми добавками и обжаренные овощи (250 г),grillezett hátszín steak,ízesített burgonya és párolt zöldségek (250 g),grilovaný steak z kýty,ochucené brambory a restovaná zelenina (250 g),grilovaný steak z hovädzej kosti,ochutené zemiaky a restovaná zelenina (250 g),pečen zrezek,aromatiziran krompir in dušena zelenjava (250 g),смажений стейк з огузка,картопля зі смаком спецій та смажені овочі (250 г),friptură de vită la grătar,cartofi aromatizați și legume sotate (250 g),
Jelovnik,MESNA JELA,rib-eye steak,aromatizirani krumpir i sotirano povrće (300 g),,"33,00","33,00","7,12",DA,DA,,rib-eye steak,flavored potatoes and sautéed vegetables (300 g),Rib-Eye-Steak,gewürzte Kartoffeln und sautiertes Gemüse (300 g),bistecca di controfiletto,patate aromatizzate e verdure saltate (300 g),steak de faux-filet,steak de faux-filet,filete de chuletón,Papas aromatizadas y verduras salteadas (300 g),bife de costela,Batatas temperadas e legumes salteados (300 g),rib-eye steak,Aardappelen met smaak en gebakken groenten (300 g),stek z antrykotu,ziemniaki smakowe i smażone warzywa (300 g),стейк рибай,Картофель с различными вкусовыми добавками и обжаренные овощи (300 г),ribeye steak,ízesített burgonya és párolt zöldségek (300 g),steak z hovězího žebra,ochucené brambory a restovaná zelenina (300 g),steak z rebra,ochutené zemiaky a restovaná zelenina (300 g),rib-eye zrezek,aromatiziran krompir in dušena zelenjava (300 g),стейк рібай,картопля зі смаком спецій та смажені овочі (300 г),friptură de antricot,cartofi aromatizați și legume sotate (300 g),
Jelovnik,MESNA JELA,tagliata od rumsteaka,"rukola, listići grana padano, aceto balsamico",,"26,00","26,00","3,7,12",DA,DA,,tagliata of rump steak,"arugula, leaves of grana padano, aceto balsamico",Tagliata vom Rumpsteak,"Rucola, Blätter von Grana Padano, Aceto Balsamico",tagliata di scamone,"rucola, foglie di grana padano, aceto balsamico",tagliata de rumsteck,tagliata de rumsteck,tagliata de filete de cadera,"rúcula, hojas de grana padano, aceto balsámico",tagliata de bife de alcatra,"rúcula, folhas de grana padano, aceto balsâmico",tagliata van rumpsteak,"rucola, blaadjes grana padano, aceto balsamico",tagliata z rostbefu,"rukola, liście grana padano, aceto balsamico",тальята из говяжьей вырезки,"руккола, листья грана падано, ацето бальзамико",marhaszelet tagliata,"rukkola, grana padano levelei, aceto balsamico",tagliata z hovězího steaku,"rukola, listy grana padano, aceto balsamico",tagliata z rump steaku,"rukola, listy grana padano, aceto balsamico",tagliata iz ramstek,"rukola, listi grane padano, aceto balsamico",тальята з стейку з горошком,"рукола, листя грана падано, ацето бальзаміко",tagliata de friptură de vită,"rucola, frunze de grana padano, aceto balsamico",
Jelovnik,MESNA JELA,dalmatinska pržolica,"blitva na dalmatiniski, umak od češnjaka",,"26,00","26,00",7,DA,DA,,dalmatian roast,"Dalmatian-style Swiss chard, garlic sauce",Dalmatinerbraten,"Mangold nach dalmatinischer Art, Knoblauchsauce",arrosto dalmata,Bietole alla dalmata con salsa all'aglio,rôti de dalmatien,rôti de dalmatien,asado dálmata,Acelgas al estilo dálmata con salsa de ajo,assado dálmata,"Acelga ao estilo da Dalmácia, molho de alho",Dalmatische gebraden kip,"Snijbiet op Dalmatische wijze, knoflooksaus",pieczeń dalmatyńska,"Boćwina po dalmatyńsku, sos czosnkowy",далматинское жаркое,Швейцарский мангольд по-далматински с чесночным соусом,dalmát sült,"Dalmát stílusú mángold, fokhagymás mártás",dalmatská pečeně,"Mangold po dalmatsku, česneková omáčka",dalmatínska pečenka,"Mangold v dalmatínskom štýle, cesnaková omáčka",dalmatinska pečenka,"Blitva po dalmatinsko, česnova omaka",далматинська печеня,"Мангольд по-далматинськи, часниковий соус",friptură dalmată,"Mangold elvețian în stil dalmațian, sos de usturoi",
Jelovnik,MESNA JELA,svinjska pisanica - ombolo,"umak od kadulje i pršuta, aromatizirana riža",,"19,50","19,50","7,12",DA,DA,,pork rump - ombolo,"sage and prosciutto sauce, flavored rice",Schweinerücken - Ombolo,"Salbei- und Prosciuttosauce, aromatisierter Reis",cosciotto di maiale - ombolo,"Salsa di salvia e prosciutto, riso aromatizzato",croupe de porc - ombolo,croupe de porc - ombolo,ómbolo de lomo de cerdo,"Salsa de salvia y prosciutto, arroz aromatizado",alcatra de porco - ombolo,"Molho de sálvia e presunto, arroz aromatizado",varkensrump - ombolo,"Salie- en prosciuttosaus, gearomatiseerde rijst",polędwica wieprzowa - ombolo,"sos szałwiowo-prosciutto, ryż aromatyzowany",свиная вырезка - омболо,"Соус из шалфея и прошутто, ароматный рис",sertésfarhát - ombolo,"zsálya és prosciutto szósz, ízesített rizs",vepřová kýta - ombolo,"šalvějová a prosciutto omáčka, ochucená rýže",bravčová kýta - ombolo,"šalviová a prosciutto omáčka, ochutená ryža",svinjska rupa - ombolo,"omaka iz žajblja in pršuta, riž z okusom",свинячий огузок - омболо,"соус з шавлії та прошуто, ароматизований рис",rumbă de porc - ombolo,"sos de salvie și prosciutto, orez aromat",ombolo.jpg
Jelovnik,MESNA JELA,pileća prsa na žaru,"aromatizirana riža, umak od zelenog papra",,"17,00","17,00","7,12",DA,DA,,grilled chicken breast,"flavored rice, green pepper sauce",gegrillte Hähnchenbrust,"gewürzter Reis, grüne Paprikasauce",petto di pollo alla griglia,"riso aromatizzato, salsa di peperoni verdi",poitrine de poulet grillée,poitrine de poulet grillée,pechuga de pollo a la parrilla,"arroz aromatizado, salsa de pimiento verde",peito de frango grelhado,Arroz temperado com molho de pimentão verde,gegrilde kipfilet,"gearomatiseerde rijst, groene pepersaus",grillowana pierś z kurczaka,"ryż smakowy, sos z zielonego pieprzu",жареная куриная грудка,"ароматный рис, соус из зеленого перца",grillezett csirkemell,"ízesített rizs, zöldpaprika-mártás",grilovaná kuřecí prsa,"ochucená rýže, omáčka ze zelených paprik",grilované kuracie prsia,"ochutená ryža, omáčka zo zelenej papriky",piščančje prsi na žaru,"aromatiziran riž, omaka iz zelene paprike",куряча грудка-гриль,"ароматизований рис, соус із зеленого перцю",piept de pui la grătar,"orez aromat, sos de ardei verde",
Jelovnik,MESNA JELA,ražnjić Deveron,"svinjetina, govedina, piletina, aromatizirani krumpir i sotirano povrće",,"27,00","27,00",7,DA,DA,,Deveron skewer,"pork, beef, chicken, flavored potatoes and sautéed vegetables",Deveron-Spieß,"Schweinefleisch, Rindfleisch, Hähnchen, gewürzte Kartoffeln und sautiertes Gemüse",Spiedino di Deveron,"maiale, manzo, pollo, patate aromatizzate e verdure saltate",Brochette de Deveron,Brochette de Deveron,Brocheta Deveron,"Cerdo, ternera, pollo, patatas con especias y verduras salteadas.",Espeto Deveron,"Carne de porco, carne bovina, frango, batatas temperadas e legumes salteados.",Deveron spies,"varkensvlees, rundvlees, kip, aardappelen met smaakjes en gebakken groenten",Szpikulec Deveron,"wieprzowina, wołowina, kurczak, ziemniaki smakowe i smażone warzywa",Шампур Деверона,"свинина, говядина, курица, картофель с различными вкусовыми добавками и обжаренные овощи",Deveron nyárs,"sertéshús, marhahús, csirkehús, ízesített burgonya és párolt zöldségek",Deveronský špíz,"vepřové, hovězí, kuřecí maso, ochucené brambory a restovaná zelenina",Deveronov špíz,"bravčové mäso, hovädzie mäso, kuracie mäso, ochutené zemiaky a restovaná zelenina",Deveronov nabodalo,"svinjina, govedina, piščanec, aromatiziran krompir in dušena zelenjava",Шашлик з Деверона,"свинина, яловичина, курка, картопля зі смаком спецій та смажені овочі",Frigărui Deveron,"carne de porc, vită, pui, cartofi aromatizați și legume sotate",raznjic-deveron.jpg
Jelovnik,MESNA JELA,punjeni otkošteni batak zabatak,aromatizirani krumpir i sotirano povrće,,"26,00","26,00",7,DA,DA,,stuffed boneless drumstick back of the leg,flavored potatoes and sautéed vegetables,"Gefülltes, entbeintes Hähnchenschenkelstück (Rückseite des Beins)",gewürzte Kartoffeln und sautiertes Gemüse,"coscia di pollo disossata ripiena, parte posteriore della gamba",patate aromatizzate e verdure saltate,pilon de cuisse farci et désossé,pilon de cuisse farci et désossé,"muslo de pollo deshuesado relleno, parte posterior de la pierna",patatas aromatizadas y verduras salteadas,coxa de frango desossada recheada (parte traseira da perna),batatas temperadas e legumes salteados,"gevulde, ontbeende drumstick, achterkant van het been",aardappelen met smaak en gebakken groenten,faszerowana bezkostna pałka z tyłu nogi,ziemniaki smakowe i smażone warzywa,"фаршированная бескостная голень, задняя часть ноги",картофель с различными вкусами и обжаренные овощи,"töltött, csont nélküli alsócomb, a lábszár hátulja",ízesített burgonya és párolt zöldségek,plněná vykostěná zadní část stehna,ochucené brambory a restovaná zelenina,plnená vykostená zadná časť stehna,ochutené zemiaky a restovaná zelenina,polnjena zadnja stran krače brez kosti,aromatiziran krompir in dušena zelenjava,фарширована задня частина стегна без кісток,ароматизована картопля та смажені овочі,pulpă dezosată umplută din spatele pulpei,cartofi aromatizați și legume sotate,
Jelovnik,RIBLJA JELA,dagnje na buzaru,dagnje,,"15,00","15,00","1,2,14",DA,DA,,mussels on buzaru,mussels,Muscheln auf Buzaru,Miesmuscheln,cozze su buzaru,cozze,moules sur buzaru,moules sur buzaru,mejillones en buzaru,mejillones,mexilhões em buzaru,mexilhões,mosselen op buzaru,mosselen,małże na buzaru,małże,мидии на бузару,моллюски,kagylók a buzaru-n,kagylók,slávky na buzaru,slávky,mušle na buzaru,mušle,klapavice na buzaruju,školjke,мідії на бузару,мідії,midii pe buzaru,midii,
Jelovnik,RIBLJA JELA,škampi na žaru,škampi,,"33,00","33,00",2,DA,DA,,grilled scampi,shrimp,gegrillte Scampi,Garnele,scampi alla griglia,gamberetto,langoustines grillées,langoustines grillées,langostinos a la parrilla,camarón,camarão grelhado,camarão,gegrilde scampi,garnaal,grillowane krewetki,krewetka,креветки на гриле,креветка,grillezett scampi,garnélarák,grilované krevety,krevety,grilované krevety,krevety,žaru pečene kozice,kozice,смажені креветки скампі,креветки,creveți la grătar,crevetă,
Jelovnik,RIBLJA JELA,škampi na buzaru,škampi,,"33,00","33,00","1,2,12",DA,DA,,buzara scampi,shrimp,Buzara Scampi,Garnele,buzara scampi,gamberetto,langoustines buzara,langoustines buzara,buzara scampi,camarón,buzara scampi,camarão,buzara scampi,garnaal,krewetki buzara,krewetka,бузара скампи,креветка,buzara scampi,garnélarák,krevety na buzaru,krevety,krevety na buzare,krevety,buzara škampi,kozice,креветки бузара,креветки,creveți de buzara,crevetă,
Jelovnik,RIBLJA JELA,lignje frigane,pomfrit,,"24,00","24,00","1,14",DA,DA,,fried squid,French fries,frittierte Tintenfische,Pommes frites,calamari fritti,patate fritte,calamars frits,calamars frits,calamares fritos,papas fritas,lula frita,batatas fritas,gefrituurde inktvis,Franse frietjes,smażone kalmary,frytki,жареные кальмары,картофель фри,sült tintahal,hasábburgonya,smažené chobotnice,hranolky,vyprážané kalmáre,Hranolky,ocvrti lignji,Pomfrit,смажені кальмари,Картопля фрі,calamar prăjit,Cartofi pai,
Jelovnik,RIBLJA JELA,lignje na žaru,blitva,,"24,00","24,00",14,DA,DA,,grilled squid,Swiss chard,gegrillter Tintenfisch,Mangold,calamari alla griglia,bietola,calamars grillés,calamars grillés,calamares a la parrilla,acelga suiza,lula grelhada,acelga,gegrilde inktvis,Snijbiet,grillowane kalmary,boćwina,жареный кальмар,мангольд,grillezett tintahal,mángold,grilované chobotnice,mangold,grilované kalmáre,mangold,lignji na žaru,blitva,смажені кальмари,Мангольд,calamar la grătar,mangold elvețian,
Jelovnik,RIBLJA JELA,tuna steak,blitva,,"24,00","24,00",4,DA,DA,,tuna steak,Swiss chard,Thunfischsteak,Mangold,bistecca di tonno,bietola,steak de thon,steak de thon,filete de atún,acelga suiza,bife de atum,acelga,tonijnsteak,Snijbiet,stek z tuńczyka,boćwina,стейк из тунца,мангольд,tonhal steak,mángold,steak z tuňáka,mangold,steak z tuniaka,mangold,tunin zrezek,blitva,стейк з тунця,Мангольд,friptură de ton,mangold elvețian,
Jelovnik,RIBLJA JELA,orada na žaru,blitva,,"24,00","24,00",4,DA,DA,,grilled sea bream,Swiss chard,gegrillte Dorade,Mangold,orata alla griglia,bietola,dorade grillée,dorade grillée,dorada a la parrilla,acelga suiza,dourada grelhada,acelga,gegrilde zeebrasem,Snijbiet,grillowana dorada,boćwina,жареный морской лещ,мангольд,grillezett tengeri sügér,mángold,grilovaná mořská pražma,mangold,grilovaná morská pražma,mangold,pečena orada,blitva,смажений морський лящ,Мангольд,dorada la grătar,mangold elvețian,
Jelovnik,RIBLJA JELA,brancin na žaru,blitva,,"24,00","24,00",4,DA,DA,,grilled sea bass,Swiss chard,gegrillter Wolfsbarsch,Mangold,branzino alla griglia,bietola,bar grillé,bar grillé,lubina a la parrilla,acelga suiza,robalo grelhado,acelga,gegrilde zeebaars,Snijbiet,grillowany okoń morski,boćwina,жареный морской окунь,мангольд,grillezett tengeri sügér,mángold,grilovaný mořský vlk,mangold,grilovaný morský vlk,mangold,brancin na žaru,blitva,смажений морський окунь,Мангольд,biban de mare la grătar,mangold elvețian,
Jelovnik,RIBLJA JELA,riblja plata za 2 osobe,"orada, brancin, lignje, škamp, kozice, tuna, dagnje, blitva",,"64,00","64,00","4,2,14",DA,DA,,fish platter for 2 people,"Sea bream, sea bass, squid, shrimp, prawns, tuna, mussels, Swiss chard",Fischplatte für 2 Personen,"Dorade, Wolfsbarsch, Tintenfisch, Garnelen, Krabben, Thunfisch, Muscheln, Mangold",Piatto di pesce per 2 persone,"Orata, branzino, calamari, gamberetti, gamberi, tonno, cozze, bietola",plateau de poisson pour 2 personnes,plateau de poisson pour 2 personnes,Plato de pescado para 2 personas,"Dorada, lubina, calamar, gambas, langostinos, atún, mejillones, acelga",Prato de peixe para 2 pessoas,"Dourada, robalo, lula, camarão, atum, mexilhões, acelga",Visschotel voor 2 personen,"Zeebrasem, zeebaars, inktvis, garnalen, reuzengarnalen, tonijn, mosselen, snijbiet",talerz ryb dla 2 osób,"Dorada, okoń morski, kalmary, krewetki, krewetki czerwone, tuńczyk, małże, boćwina",рыбное блюдо на 2 персоны,"морской лещ, морской окунь, кальмар, креветки, креветки, тунец, мидии, мангольд",haltál 2 főre,"Tengeri sügér, tengeri sügér, tintahal, garnélarák, rák, tonhal, kagyló, mángold",rybí talíř pro 2 osoby,"Mořský okoun, mořský vlk, oliheň, krevety, krevety, tuňák, slávky, mangold",rybí tanier pre 2 osoby,"Pražma, morský vlk, chobotnica, krevety, tuniak, mušle, mangold",ribji krožnik za 2 osebi,"Orada, brancin, lignji, kozice, kozice, tuna, klapavice, blitva",рибна тарілка для 2 осіб,"Морський лящ, морський окунь, кальмари, креветки, тунець, мідії, мангольд",platou cu pește pentru 2 persoane,"Doradă, biban de mare, calamar, creveți, ton, midii, mangold",
Jelovnik,RIBLJA JELA,mješana buzara za dvije osobe,"dagnje, škampi, kozice, vongole, kapesante, pljukanci",,"64,00","64,00","14,2,1,12",DA,DA,,mixed buzara for 2 people,"mussels, shrimp, prawns, clams, scallops, clams",gemischte Buzara für 2 Personen,"Muscheln, Garnelen, Krabben, Venusmuscheln, Jakobsmuscheln, Venusmuscheln",Buzar mista per 2 persone,"cozze, gamberetti, gamberi, vongole, capesante, vongole",buzara mixte pour 2 personnes,buzara mixte pour 2 personnes,Buzara mixta para 2 personas,"mejillones, camarones, langostinos, almejas, vieiras, almejas",Buzara mista para 2 pessoas,"mexilhões, camarões, gambas, amêijoas, vieiras, amêijoas",Gemengde buzara voor 2 personen,"mosselen, garnalen, venusschelpen, sint-jakobsschelpen, venusschelpen",buzara mieszana dla 2 osób,"małże, krewetki, przegrzebki, małże",смешанная бузара на 2 персоны,"мидии, креветки, ракообразные, моллюски, гребешки, моллюски",vegyes buzara 2 főre,"kagyló, garnélarák, rák, tengeri herkentyű, fésűkagyló, kagylófélék",míchaná buzara pro 2 osoby,"slávky, krevety, krevety, škeble, hřebenatky, škeble",mixovaná buzara pre 2 osoby,"mušle, krevety, krevety, mušle, lastúry, mušle",mešana buzara za 2 osebi,"klapavice, kozice, kozice, školjke, pokrovače, školjke",мікс бузара для 2 осіб,"мідії, креветки, креветки, молюски, гребінці, молюски",buzară mixtă pentru 2 persoane,"midii, creveți, creveți, scoici, scoici Saint-Jacques, scoici",buzara.jpg
Jelovnik,RIBLJA JELA,dnevno sviježa oborita riba,1000g,,"81,00","81,00",4,DA,DA,,daily fresh fish cutlet,1000g,täglich frisches Fischkotelett,1000 g,cotoletta di pesce fresco del giorno,1000 g,côtelettes de poisson frais du jour,côtelettes de poisson frais du jour,Chuleta de pescado fresco del día,1000 g,costeleta de peixe fresco diária,1000g,dagelijks verse viskotelet,1000 g,codziennie świeży kotlet rybny,1000g,Ежедневно свежая рыбная котлета,1000 г,napi friss halszelet,1000 g,denně čerstvé rybí řízky,1000 g,denne čerstvé rybie rezeň,1000 g,dnevno svež ribji zrezek,1000 g,щоденна свіжа рибна котлета,1000 г,șnițel de pește proaspăt zilnic,1000g,
Jelovnik,PIZZA,mediteranska pogača focaccia,"maslinovo ulje, začini, krupna sol",,"5,00","5,00",1,DA,DA,,focaccia,"olive oil, spices, coarse salt",Focaccia,"Olivenöl, Gewürze, grobes Salz",focaccia,"olio d'oliva, spezie, sale grosso",focaccia,focaccia,focaccia,"aceite de oliva, especias, sal gruesa",focaccia,"azeite, especiarias, sal grosso",focaccia,"olijfolie, specerijen, grof zout",focaccia,"oliwa z oliwek, przyprawy, gruba sól",фокачча,"оливковое масло, специи, крупная соль",focaccia,"olívaolaj, fűszerek, durva só",focaccia,"olivový olej, koření, hrubozrnná sůl",focaccia,"olivový olej, koreniny, hrubozrnná soľ",fokača,"olivno olje, začimbe, groba sol",фокачча,"оливкова олія, спеції, крупна сіль",focaccia,"ulei de măsline, condimente, sare grunjoasă",
Jelovnik,PIZZA,margarita,"rajčica, sir, maslina",,"10,50","10,50","1,7",DA,DA,,margarita,"tomato, cheese, olive",Margarita,"Tomaten, Käse, Oliven",margarita,"pomodoro, formaggio, oliva",margarita,margarita,margarita,"tomate, queso, aceituna",margarita,"tomate, queijo, azeitona",margarita,"tomaat, kaas, olijf",margarita,"pomidor, ser, oliwki",маргарита,"помидор, сыр, оливки",margarita,"paradicsom, sajt, olajbogyó",margarita,"rajče, sýr, oliva",margarita,"paradajka, syr, oliva",margarita,"paradižnik, sir, oliva",маргарита,"помідор, сир, оливки",margarita,"roșii, brânză, măsline",
Jelovnik,PIZZA,funghi,"rajčica, sir, gljive, maslina",,"12,00","12,00","1,7",DA,DA,,funghi,"tomato, cheese, mushrooms, olives",funghi,"Tomaten, Käse, Champignons, Oliven",funghi,"pomodoro, formaggio, funghi, olive",funghi,champignons,funghi,"tomate, queso, champiñones, aceitunas",funghi,"tomate, queijo, cogumelos, azeitonas",funghi,"tomaat, kaas, champignons, olijven",funghi,"pomidor, ser, pieczarki, oliwki",грибы,"помидоры, сыр, грибы, оливки",funghi,"paradicsom, sajt, gomba, olajbogyó",funghi,"rajče, sýr, žampiony, olivy",funghi,"paradajka, syr, šampiňóny, olivy",funghi,"paradižnik, sir, gobe, olive",гриби,"помідори, сир, гриби, оливки",funghi,"roșii, brânză, ciuperci, măsline",
Jelovnik,PIZZA,vesuvio,"rajčica, sir, šunka, maslina",,"13,00","13,00","1,7",DA,DA,,vesuvio,"tomato, cheese, ham, olives",Vesuv,"Tomaten, Käse, Schinken, Oliven",Vesuvio,"pomodoro, formaggio, prosciutto, olive",Vésuve,Vésuve,Vesubio,"tomate, queso, jamón, aceitunas",Vesúvio,"tomate, queijo, presunto, azeitonas",Vesuvius,"tomaat, kaas, ham, olijven",Wezuwiusz,"pomidor, ser, szynka, oliwki",Везувий,"помидоры, сыр, ветчина, оливки",Vezúv,"paradicsom, sajt, sonka, olajbogyó",Vesuv,"rajče, sýr, šunka, olivy",Vezuv,"paradajka, syr, šunka, olivy",Vezuv,"paradižnik, sir, šunka, olive",Везувій,"помідори, сир, шинка, оливки",Vezuviu,"roșii, brânză, șuncă, măsline",
Jelovnik,PIZZA,capricciosa,"rajčica, sir, šunka, gljive,artičoke, maslina",,"13,50","13,50","1,7",DA,DA,,capricciosa,"tomato, cheese, ham, mushrooms, artichokes, olives",Capricciosa,"Tomaten, Käse, Schinken, Champignons, Artischocken, Oliven",capricciosa,"pomodoro, formaggio, prosciutto, funghi, carciofi, olive",capricciosa,capricciosa,Caprichosa,"tomate, queso, jamón, champiñones, alcachofas, aceitunas",capricciosa,"tomate, queijo, presunto, cogumelos, alcachofras, azeitonas",capricciosa,"tomaat, kaas, ham, champignons, artisjokken, olijven",kapryśna,"pomidor, ser, szynka, pieczarki, karczochy, oliwki",каприкциоза,"помидоры, сыр, ветчина, грибы, артишоки, оливки",capricciosa,"paradicsom, sajt, sonka, gomba, articsóka, olajbogyó",capricciosa,"rajče, sýr, šunka, žampiony, artyčoky, olivy",capricciosa,"paradajka, syr, šunka, šampiňóny, artičoky, olivy",kapricioza,"paradižnik, sir, šunka, gobe, artičoke, olive",капрічоза,"помідори, сир, шинка, гриби, артишоки, оливки",capricioasă,"roșii, brânză, șuncă, ciuperci, anghinare, măsline",
Jelovnik,PIZZA,quattro stagioni,"rajčica, sir, šunka, gljive,artičoke, maslina",,"14,00","14,00","1,7",DA,DA,,quattro stagioni,"tomato, cheese, ham, mushrooms, artichokes, olives",quattro stagioni,"Tomaten, Käse, Schinken, Champignons, Artischocken, Oliven",quattro stagioni,"pomodoro, formaggio, prosciutto, funghi, carciofi, olive",quattro stagioni,quattro stagioni,cuatro estaciones,"tomate, queso, jamón, champiñones, alcachofas, aceitunas",quatro estações,"tomate, queijo, presunto, cogumelos, alcachofras, azeitonas",quattro stagioni,"tomaat, kaas, ham, champignons, artisjokken, olijven",quattro stagioni,"pomidor, ser, szynka, pieczarki, karczochy, oliwki",quattro stagioni,"помидоры, сыр, ветчина, грибы, артишоки, оливки",négyállásos,"paradicsom, sajt, sonka, gomba, articsóka, olajbogyó",čtyři sezóny,"rajče, sýr, šunka, žampiony, artyčoky, olivy",štyri sezóny,"paradajka, syr, šunka, šampiňóny, artičoky, olivy",štiri sezone,"paradižnik, sir, šunka, gobe, artičoke, olive",чотири сезони,"помідори, сир, шинка, гриби, артишоки, оливки",patru sezoane,"roșii, brânză, șuncă, ciuperci, anghinare, măsline",
